Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
7470,AGRICULTORES FEDERADOS ARGENTINOS SCL,"PARCELA 7, CHACRA 110, SECCION E, CIRCUNSCRIPCION 1.",CHARATA,CHACO,NEA,-27.235338,-61.193739
8001,AGRICULTORES FEDERADOS ARGENTINOS SCL,PELLEGRINI 1124,TOTORAS,SANTA FE,CENTRO,-32.58527,-61.1693
5143,AGRICULTORES FEDERADOS ARGENTINOS SCL,ROQUE SAENZ 440,PUJATO,SANTA FE,CENTRO,-33.016,-61.04831
5043,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,RUTA 13 KM. 86,SASTRE,SANTA FE,CENTRO,-31.76615,-61.81218
6840,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,RUTA 18 KM 50,SANTA TERESA,SANTA FE,CENTRO,-33.433971,-60.772901
8938,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,"RUTA 26 KM 33,5",CARMEN DEL SAUCE,SANTA FE,CENTRO,-33.239488,-60.81543
5150,AGRICULTORES FEDERADOS ARGENTINOS SCL,"RUTA 26S KM 64,4",FUENTES,SANTA FE,CENTRO,-33.16864,-61.08207
8918,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,RUTA 34 KM 44,SALTO GRANDE,SANTA FE,CENTRO,-32.669536,-61.09252
5018,AGRICULTORES FEDERADOS ARGENTINOS SCL,"RUTA 70 36,5",HUMBOLT,SANTA FE,CENTRO,-31.396004,-61.081524
5033,AGRICULTORES FEDERADOS ARGENTINOS SCL,RUTA NAC.9 KM.446,MARCOS JUAREZ,CORDOBA,CENTRO,-32.684372,-62.119547
9807,ALVAREZ NEUMATICOS S.A.,AV. CABRERA 4114,BAHIA BLANCA,BUENOS AIRES,PAMPEANA,-38.68556,-62.22917
7862,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,Ruta Prov. Nro 17S y Calle Nro 2 KM 754,Coronel Arnold,SANTA FE,CENTRO,-33.102884,-60.966188
5085,AGRICULTORES FEDERADOS ARGENTINOS SCL,SARMIENTO 138,MONTES DE OCA,SANTA FE,CENTRO,-32.565496,-61.775051
8917,AGRICULTORES FEDERADOS ARGENTINOS S.C.L.,SARMIENTO 811,LAS ROSAS,SANTA FE,CENTRO,-32.47662,-61.57657
5133,AGRICULTORES FEDERADOS ARGENTINOS SCL,V. LOPEZ 3250,CASILDA,SANTA FE,CENTRO,-33.03836,-61.18034
4956,AGRICULTORES FEDERADOS ARGENTINOS SOC. COOP. LTDA.,MALVINAS ARGENTINAS 701,CAÑADA ROSQUIN,SANTA FE,CENTRO,-32.05963,-61.59808
8868,AGRICULTORES FEDERADOS ARGENTINOS SOC. COOP. LTDA.,"RUTA NAC. 34 KM 125,60",CAÑADA ROSQUIN,SANTA FE,CENTRO,-32.087023,-61.571379
4957,AGRICULTORES FEDERADOS ARGENTINOS SOCIEDAD COOPERATIVA LIMITADA,URUGUAY 90,TORTUGAS,SANTA FE,CENTRO,-32.748753,-61.817485
4887,AGRICULTORES FEDERADOS ARG. S.CL.,RUTA NAC. 34 KM 55,TOTORAS,SANTA FE,CENTRO,-32.598128,-61.175218
3105,AGROABASTO S.R.L.,CALLE PUBLICA S/Nº,CORDOBA,CORDOBA,CENTRO,-31.39034,-64.1123
8653,AGROCOMB SA,Av. Circunvalacion y calle del Riego - Mercado Central,TAPIALES,BUENOS AIRES,PAMPEANA,-34.706762,-58.496524
5942,AGROCOMB SRL,French 1586,RESISTENCIA,CHACO,NEA,, 
7775,AGROCOMBUSTIBLES SAN FAUSTINO S.R.L,calle 30 N° 789,HUANGUELEN,BUENOS AIRES,PAMPEANA,-37.06082,-61.93658
9630,AMERICA 210 SA,REPUBLICA ARGENTINA 93,GUERNICA,BUENOS AIRES,PAMPEANA,-34.923553,-58.380809
7781,AGRO COMBUSTIBLES S.R.L.,CALLE 21 N 5396 ESQ. AV. P. N. KIRCHNER,BERAZATEGUI,BUENOS AIRES,PAMPEANA,-34.765179,-58.198365
9894,AMERICAN TRANSFER OIL S.R.L.,AV. HIPOLITO YRIGOYEN 6995,BANFIELD,BUENOS AIRES,PAMPEANA,-34.73654,-58.39794
7073,AGROENERGIA S.A.,AV. CIRCUNVALACIÓN Y SCHMIDT,SANTA ROSA,LA PAMPA,PATAGONIA,-36.64361,-64.27722
8708,AGROENERGIA SA,RUTA NACIONAL Nº 5 KM 526,CATRILO,LA PAMPA,PATAGONIA,-36.41875,-63.43196
6111,AGROENERGIA S.H. DE LAPACO MAURO Y SPEIER MARCOS,9 DE JULIO 179,SANTA ROSA,LA PAMPA,PATAGONIA,-36.62007,-64.2936
109,AGROMARE SRL,CALLE 29 Y DIAGONAL 61,VERONICA,BUENOS AIRES,PAMPEANA,-35.3903,-57.33949
110,AGROMARE SRL,RUTA 36 KM 121,VIEYTES,BUENOS AIRES,PAMPEANA,-35.27978,-57.57332
